name,address,categories,rating,latitude,longitude
Kortteliravintola Hugo,Stålarminkatu 2,"Bar, Gastropub",,60.439055,22.259166
Vaate & Paikka,N/A,Apparel,,60.438724,22.255282
Kasperin Yksiö,N/A,Hotel Bar,,60.438724,22.255282
